#Insert size (bp)	insert size
38.0	1.0
101.0	1.0
107.0	1.0
184.0	1.0
199.0	1.0
201.0	1.0
208.0	2.0
218.0	1.0
220.0	1.0
222.0	4.0
223.0	3.0
224.0	8.0
225.0	1443.0
226.0	625.0
227.0	979.0
228.0	149.0
229.0	764.0
230.0	417.0
231.0	611.0
232.0	405.0
233.0	320.0
234.0	63.0
235.0	428.0
236.0	202.0
237.0	274.0
238.0	224.0
239.0	643.0
240.0	106.0
241.0	321.0
242.0	210.0
243.0	473.0
244.0	63.0
245.0	425.0
246.0	54.0
247.0	597.0
248.0	49.0
249.0	737.0
250.0	310.0
251.0	114.0
252.0	332.0
253.0	341.0
254.0	45.0
255.0	527.0
256.0	111.0
257.0	535.0
258.0	1.0
259.0	178.0
260.0	296.0
261.0	355.0
262.0	79.0
263.0	629.0
264.0	105.0
265.0	444.0
266.0	200.0
267.0	632.0
268.0	278.0
269.0	611.0
270.0	241.0
271.0	728.0
272.0	303.0
273.0	850.0
274.0	512.0
275.0	1154.0
276.0	7.0
285.0	1.0
301.0	1.0
302.0	2.0
400.0	4.0
497.0	3.0
503.0	1.0
504.0	10.0
517.0	10.0
523.0	4.0
525.0	10.0
526.0	6.0
527.0	5.0
528.0	10.0
529.0	8.0
531.0	5.0
533.0	5.0
