#GC Content (%)	Sample
1.0	0.0
2.0	1.0396091069757771E-4
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	1.0396091069757771E-4
21.0	3.118827320927331E-4
22.0	2.0792182139515541E-4
23.0	8.316872855806217E-4
24.0	5.198045534878886E-4
25.0	0.0020792182139515543
26.0	0.003118827320927331
27.0	0.006133693731157085
28.0	0.012579270194406904
29.0	0.013618879301382678
30.0	0.016113941158124544
31.0	0.015178292961846345
32.0	0.024950618567418648
33.0	0.027445680424160516
34.0	0.035450670547874
35.0	0.04730221436739786
36.0	0.04376754340368021
37.0	0.051148768063208234
38.0	0.04532695706414388
39.0	0.038777419690196484
40.0	0.03607443601205947
41.0	0.026925875870672623
42.0	0.028381328620438715
43.0	0.0163218629795197
44.0	0.02526250129951138
45.0	0.03836157604740618
46.0	0.022975361264164672
47.0	0.020688221228817964
48.0	0.025470423120906537
49.0	0.022143673978584053
50.0	0.017569393907890633
51.0	0.018401081193471256
52.0	0.019024846657656722
53.0	0.020688221228817968
54.0	0.02931697681671691
55.0	0.028277367709741135
56.0	0.010292130159060194
57.0	0.02443081401393076
58.0	0.03160411685206362
59.0	0.02328724399625741
60.0	0.01309907474789479
61.0	0.008420833766503794
62.0	0.014450566586963302
63.0	0.02359912672835014
64.0	0.01050005198045535
65.0	0.010292130159060192
66.0	0.006445576463249817
67.0	0.006549537373947395
68.0	0.013203035658592368
69.0	0.005405967356274041
70.0	0.003742592785112797
71.0	0.0038465536958103754
72.0	0.001559413660463666
73.0	3.118827320927331E-4
74.0	0.0016633745711612433
75.0	0.003534670963717642
76.0	9.356481962781994E-4
77.0	7.27726374883044E-4
78.0	9.356481962781994E-4
79.0	1.0396091069757771E-4
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	1.0396091069757771E-4
