ID_REF,CDR017,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR025,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR021,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR029,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR022,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR018,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR026,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR030,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR031,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR023,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR027,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR019,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR020,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR028,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR032,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR024,Detection Pval,BEAD_STDERR,Avg_NBEADS
ILMN_2621780,68.13297,0.8233083,4.219929,40,62.55759,0.89599,2.986191,44,75.66287,0.6090226,6.009837,39,64.64348,0.7368421,3.476937,37,60.03569,0.9273183,4.608047,27,67.78234,0.7518797,4.882963,39,62.75769,0.6466165,3.724352,31,59.26499,0.943609,3.026811,44,65.36031,0.9047619,6.422326,26,69.6647,0.9172933,4.271372,49,70.19505,0.5463659,4.075567,35,67.32909,0.8546366,3.860531,41,63.70029,0.7819549,4.675796,35,60.95193,0.8859649,4.348104,39,72.35084,0.5739349,3.767885,58,58.62788,0.9536341,2.946063,39
ILMN_1226653,195.5626,0.001253133,11.10218,34,199.017,0.001253133,14.17665,29,201.7402,0.002506266,9.680049,40,177.6103,0.001253133,10.21686,24,177.0771,0.003759399,10.34274,44,185.3807,0.001253133,10.06016,32,172.3947,0,10.37909,30,232.1935,0,12.1285,36,222.6826,0,15.50937,39,236.3725,0,10.13657,40,215.4995,0,13.48295,24,198.905,0.001253133,10.46579,52,174.6169,0.001253133,12.66885,37,197.5453,0,20.41415,30,180.913,0.001253133,9.524364,40,184.2074,0.001253133,9.254876,43
ILMN_1227616,93.80503,0.2769423,7.24215,34,82.86098,0.3370927,4.53327,45,87.83921,0.3295739,4.350075,60,75.2237,0.4197995,3.816348,56,83.7284,0.3182957,4.965385,41,80.08672,0.3997494,5.188184,42,69.23,0.4135338,3.31344,49,74.25681,0.4924812,4.802185,43,107.679,0.1353384,7.138847,41,102.6546,0.264411,7.123417,40,76.46471,0.3508772,5.056674,49,109.9577,0.1328321,6.952462,35,84.175,0.2255639,6.372466,36,70.34629,0.5551379,6.349085,36,79.3333,0.3872181,4.748571,45,98.18374,0.1378446,6.16697,40
ILMN_2604467,1116.793,0,33.39405,43,915.3457,0,35.49574,32,1434.845,0,32.18218,49,1013.767,0,29.99772,60,1088.458,0,32.78803,40,1049.015,0,32.94749,38,694.2143,0,26.5178,34,1048.192,0,40.46869,32,1238.216,0,29.85374,44,1498.054,0,48.93942,46,858.1738,0,22.87458,44,945.0474,0,37.89633,45,794.767,0,22.94178,50,945.4568,0,38.05981,30,1023.859,0,36.34163,37,872.7462,0,25.22811,37
ILMN_1225086,124.7708,0.0689223,5.133256,40,107.2119,0.10401,6.2611,40,140.2724,0.03884712,9.197615,44,119.5166,0.04135338,6.699986,45,113.6325,0.0802005,5.587621,37,104.2966,0.1353384,7.690259,33,87.09349,0.1190476,4.759015,32,96.45555,0.1578947,4.773561,36,123.9516,0.06390978,8.847549,36,117.9337,0.1390978,8.94932,41,102.345,0.0726817,6.136431,44,118.9204,0.09774436,8.3672,42,101.98,0.07518797,5.769958,30,98.86543,0.1015038,6.044041,42,96.73147,0.1278196,3.848742,40,99.12734,0.131579,7.732712,35
ILMN_2727437,230.8026,0,16.41067,34,211.3552,0,12.12981,31,252.0468,0.001253133,15.06444,30,239.8869,0,22.59195,28,244.139,0,18.70422,30,231.5654,0,14.03718,36,168.896,0,10.81794,38,212.3936,0,16.13285,24,226.619,0,24.16976,21,264.8088,0,17.747,31,159.683,0.001253133,9.263321,34,253.9683,0,19.86439,22,149.1711,0.003759399,9.350978,27,176.2404,0,12.92729,38,161.1285,0.003759399,10.99545,26,227.7437,0,13.33646,34
ILMN_2628021,1114.394,0,32.78988,38,1030.941,0,30.32251,41,1220.143,0,32.31928,56,935.4763,0,31.71609,39,1081.307,0,31.17676,51,1171.036,0,45.00505,27,682.7267,0,25.3439,42,979.26,0,35.89292,54,1155.008,0,40.92995,32,1357.222,0,48.52667,42,833.0543,0,23.0107,45,1179.897,0,48.88175,29,834.1433,0,38.48102,30,843.188,0,35.7811,42,800.9838,0,29.62517,30,1031.221,0,35.88342,39
ILMN_2793281,692.8698,0,30.45193,42,612.4633,0,25.8822,43,651.666,0,29.02944,40,569.0721,0,32.25231,32,536.9693,0,22.08142,41,621.0837,0,21.97588,57,443.2125,0,22.39998,37,641.7926,0,26.24093,44,668.1016,0,23.72875,42,733.39,0,49.02997,37,522.1913,0,29.48339,31,589.7912,0,32.12999,41,493.478,0,20.80506,41,476.8391,0,17.49197,30,499.978,0,16.05917,42,605.1226,0,29.22652,44
ILMN_2729134,64.74888,0.9160401,2.985549,51,61.03627,0.9285714,3.817408,45,63.43261,0.9423559,2.993079,47,57.88651,0.9285714,4.444715,36,63.56632,0.8408521,3.752963,45,58.55402,0.9636592,3.322942,36,56.51992,0.8947368,2.718912,52,55.26344,0.9849624,3.68857,36,54.63067,0.9974937,3.317474,51,70.73195,0.8909774,4.594349,47,55.47678,0.9724311,3.402557,37,61.99594,0.952381,3.530089,46,58.23199,0.9260651,3.215912,36,53.65849,0.9862155,2.415245,49,62.88008,0.858396,3.199115,44,53.46458,0.9937344,3.044377,36
ILMN_2603581,8361.706,0,263.0871,38,7480.029,0,201.565,40,8745.874,0,195.7653,46,6764.07,0,179.2858,41,7681.477,0,161.5635,55,7537.518,0,188.8746,41,5316.259,0,113.4741,43,6859.655,0,188.427,40,7879.058,0,191.4676,43,8676.522,0,266.7441,40,6219.771,0,148.8067,44,8210.207,0,168.5397,47,5620.413,0,118.1412,55,6273.024,0,165.6425,33,5621.318,0,159.7724,33,5978.92,0,182.7562,36
